0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,target
0.839854,0.7051263,0.5885517,0.48052812,0.414801,0.8440339,0.6996041,0.58462954,0.5014464,0.4085558,0.84092915,0.6932337,0.59905773,0.49214762,0.41604972,0.8368518,0.70023274,0.5855656,0.49193162,0.4020549,0.84447664,0.6980924,0.59104836,0.48858476,0.3918702,0.8458961,0.7032233,0.5831048,0.5006456,0.4083952,0.8393293,0.69539887,0.5881766,0.50238276,0.4214952,0.83011234,0.7004751,0.5875752,0.5103267,0.4180343,0.838914,0.7007701,0.6030596,0.50760764,0.40943974,0.8368629,0.6978372,0.5777894,0.50840575,0.42314768,5
0.91081464,0.83236146,0.763473,0.7052405,0.6333015,0.91527355,0.8248466,0.7489698,0.72709745,0.635427,0.9065032,0.83846635,0.77397996,0.68845,0.6516482,0.9172985,0.83227026,0.7736513,0.69917035,0.6349278,0.9099755,0.82729936,0.7583624,0.68899274,0.61115605,0.91237974,0.8211021,0.77412885,0.6769305,0.61667013,0.9142267,0.82866603,0.7716805,0.68528855,0.6566468,0.9122639,0.83470666,0.7633594,0.6957896,0.64722383,0.90566593,0.83951735,0.7781869,0.6999955,0.6362167,0.9032534,0.8374411,0.7606782,0.69213,0.6293504,5
1.0386317,1.0796456,1.1253282,1.1614418,1.2149575,1.0408596,1.0795054,1.1183183,1.1739062,1.2113637,1.0408596,1.0822101,1.1221844,1.1689757,1.2195204,1.0372136,1.0785406,1.1266423,1.1702868,1.2224247,1.0398333,1.0834479,1.1186459,1.1732651,1.2171372,1.0364723,1.0727227,1.126601,1.1690937,1.2260573,1.043491,1.0730474,1.1210201,1.1691273,1.2091126,1.0411899,1.0800091,1.129816,1.1744732,1.213274,1.0385518,1.0767225,1.1282096,1.1693251,1.2280557,1.0412351,1.0797545,1.129187,1.1783066,1.2212584,5
0.9999055,1.0056453,1.0240775,1.0457066,1.0607111,1.0012264,1.0105834,1.0243174,1.0390444,1.0693486,1.0029409,1.00746,1.0226208,1.0433779,1.0641782,0.9996364,1.0083392,1.0253423,1.0350025,1.0630234,1.0003842,1.0087727,1.0224825,1.0377586,1.0706402,1.0009387,1.0039558,1.0198665,1.0387731,1.0646555,1.002726,1.0049838,1.0147194,1.0423763,1.0723858,0.99879825,1.0068891,1.0214217,1.0412463,1.0634477,0.9990787,1.0105143,1.021925,1.0411961,1.0696483,1.0016013,1.0087177,1.0202795,1.028508,1.0720634,5
1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,1.173913,1.3780718,1.6177363,1.8990817,2.2293568,5
1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,1.1666667,1.3611113,1.5879632,1.8526239,2.1613948,5
0.869029,0.7629463,0.6766082,0.58906335,0.54833204,0.8740994,0.76992685,0.69102144,0.6021685,0.5467836,0.8691937,0.77579814,0.6945914,0.5948263,0.5605847,0.8677654,0.7703189,0.6791501,0.6100481,0.54408,0.87444866,0.7709612,0.6702607,0.61136603,0.53495646,0.87290907,0.7650214,0.6810902,0.60534215,0.53607947,0.86707306,0.7735207,0.6796067,0.6050774,0.55734295,0.8609421,0.77409434,0.67238486,0.6149464,0.5512514,0.8742179,0.76663226,0.6765717,0.5981956,0.5445299,0.8802805,0.76798385,0.6720406,0.6181298,0.52918583,5
0.97952056,0.96218514,0.93561107,0.9122498,0.89510286,0.9771395,0.9550614,0.9309721,0.9135444,0.9016417,0.97791255,0.9545167,0.93352234,0.91843677,0.89508116,0.9787579,0.9557574,0.93548626,0.9148786,0.89977026,0.9769383,0.9556496,0.9351189,0.9164735,0.8937434,0.97801054,0.95178187,0.93849456,0.9144427,0.9016679,0.9777677,0.9557654,0.9358286,0.91562694,0.89901507,0.9792561,0.96067214,0.93678325,0.9148159,0.8973398,0.9780181,0.957531,0.9404006,0.9187498,0.90246624,0.97812235,0.95453644,0.9388826,0.9163486,0.89693725,5
0.98176455,0.97897786,0.98085696,1.0047739,1.0477781,0.9871519,0.9809147,0.9911406,1.0068085,1.0359552,0.98442835,0.9853781,0.9849429,1.0081221,1.0397481,0.9816971,0.98256576,0.99407065,1.0083023,1.0427719,0.9868798,0.9847225,0.98699707,0.99480474,1.0385934,0.9868944,0.9798928,0.9929871,1.0116342,1.0382166,0.98626804,0.9850189,0.991112,1.0007455,1.0416574,0.9876256,0.9770094,0.99167013,1.0025612,1.0350224,0.9862065,0.9845377,0.98839074,1.0075006,1.0445138,0.9858313,0.9790912,0.99419373,1.0023762,1.0360645,5
0.9397588,0.8794044,0.82713884,0.771227,0.73515606,0.93463326,0.8797436,0.823978,0.7709908,0.7158919,0.9367725,0.8822639,0.82311714,0.77356756,0.71634996,0.93650496,0.87578124,0.8254541,0.77361673,0.73252976,0.93732375,0.87653583,0.8165543,0.7753861,0.7279369,0.94142884,0.879353,0.8218796,0.77328306,0.73377347,0.93847775,0.8834726,0.82539016,0.77084744,0.72723687,0.9384184,0.88281596,0.8221284,0.7706178,0.7292,0.93657255,0.8848652,0.823608,0.7726369,0.7211713,0.93805116,0.8762548,0.82272995,0.7719664,0.71824086,5
